symbol,formula,volume_limit,contract_size,type
XRPUSD,lots,5,10000,Cryptocurrencies
XTZUSD,lots,5,1000,Cryptocurrencies
YFIUSD,lots,5,1,Cryptocurrencies
COMUSD,lots,5,10,Cryptocurrencies
YGGUSD,lots,5,1000,Cryptocurrencies
ZECUSD,lots,5,10,Cryptocurrencies
ZECBTC,lots,5,100,Cryptocurrencies
ZILUSD,lots,5,10000,Cryptocurrencies
WAVUSD,lots,5,100,TMP
ANTUSD,lots,5,1000,TMP
MSKUSD,lots,5,1000,Cryptocurrencies
ALPUSD,lots,5,10000,Cryptocurrencies
CHZUSD,lots,5,10000,Cryptocurrencies
GLMUSD,lots,5,10000,TMP
NULUSD,lots,5,10000,TMP
STRUSD,lots,5,10000,Cryptocurrencies
TLMUSD,lots,5,100000,TMP
DATUSD,lots,5,100000,TMP
DGBUSD,lots,5,100000,TMP
REFUSD,lots,5,1000000,TMP
SUNUSD,lots,5,100000,TMP
#MLM,lots,5,1,CFD_US
#AA,lots,5,1,CFD_US
#CVX,lots,5,1,CFD_US
#VMC,lots,5,1,CFD_US
#NSC,lots,5,1,CFD_US
#ADM,lots,5,1,CFD_US
#STZ,lots,5,1,CFD_US
#TAP,lots,5,1,CFD_US
#MS,lots,5,1,CFD_US
#RNG,lots,5,1,CFD_US
#KODK,lots,5,1,CFD_US
#AMWL,lots,5,1,TMP
#BB,lots,5,1,CFD_US
#COTY,lots,5,1,CFD_US
#EDU,lots,5,1,CFD_US
#FIS,lots,5,1,CFD_US
#GPN,lots,5,1,CFD_US
#KMI,lots,5,1,CFD_US
#TME,lots,5,1,CFD_US
#FTI,lots,5,1,CFD_US
#ABT,lots,5,1,CFD_US
#BA,lots,5,1,CFD_US
#OXY,lots,5,1,CFD_US
#SLB,lots,5,1,CFD_US
#AXP,lots,5,1,CFD_US
#BABA,lots,5,1,CFD_US
#BAC,lots,5,1,CFD_US
#CAT,lots,5,1,CFD_US
#CL,lots,5,1,CFD_US
#DIS,lots,5,1,CFD_US
#F,lots,5,1,CFD_US
#GD,lots,5,1,CFD_US
#GE,lots,5,1,CFD_US
#HD,lots,5,1,CFD_US
#HPQ,lots,5,1,CFD_US
#IBM,lots,5,1,CFD_US
#JNJ,lots,5,1,CFD_US
#JPM,lots,5,1,CFD_US
#KO,lots,5,1,CFD_US
#LMT,lots,5,1,CFD_US
#MA,lots,5,1,CFD_US
#MCD,lots,5,1,CFD_US
#MMM,lots,5,1,CFD_US
#MO,lots,5,1,CFD_US
#NIKE,lots,5,1,CFD_US
#PANW,lots,5,1,CFD_US
#DVN,lots,5,1,CFD_US
#PFE,lots,5,1,CFD_US
#PG,lots,5,1,CFD_US
#PM,lots,5,1,CFD_US
#SNOW,lots,5,1,CFD_US
#T,lots,5,1,CFD_US
#TOT,lots,5,1,CFD_US
#V,lots,5,1,CFD_US
#VZ,lots,5,1,CFD_US
#WMT,lots,5,1,CFD_US
#XOM,lots,5,1,CFD_US
#RTX,lots,5,1,CFD_US
#C,lots,5,1,CFD_US
#SQ,lots,5,1,TMP
#CLX,lots,5,1,CFD_US
#NIO,lots,5,1,CFD_US
#ABBV,lots,5,1,CFD_US
USDKRW,lots,5,100000,Forex
COCOA,lots,5,1,Agriculture
COFFEE,lots,5,10,Agriculture
CORN,lots,5,4,Agriculture
SOYBEAN,lots,5,4,Agriculture
WHEAT,lots,5,4,Agriculture
USDILS,lots,5,100000,Forex
GBPUSD_k,lots,5,100000,Forex
EURUSD_k,lots,5,100000,Forex
EURJPY_k,lots,5,100000,Forex
USDJPY_k,lots,5,100000,Forex
AUDUSD_k,lots,5,100000,Forex
USDCHF_k,lots,5,100000,Forex
NZDUSD_k,lots,5,100000,Forex
USDCAD_k,lots,5,100000,Forex
EURGBP_k,lots,5,100000,Forex
EURCHF_k,lots,5,100000,Forex
AUDJPY_k,lots,5,100000,Forex
CHFJPY_k,lots,5,100000,Forex
EURAUD_k,lots,5,100000,Forex
CADJPY_k,lots,5,100000,Forex
GBPAUD_k,lots,5,100000,Forex
EURCAD_k,lots,5,100000,Forex
AUDCAD_k,lots,5,100000,Forex
GBPCAD_k,lots,5,100000,Forex
AUDNZD_k,lots,5,100000,Forex
NZDJPY_k,lots,5,100000,Forex
GBPNZD_k,lots,5,100000,Forex
EURNZD_k,lots,5,100000,Forex
CADCHF_k,lots,5,100000,Forex
NZDCAD_k,lots,5,100000,Forex
GBPJPY_k,lots,5,100000,Forex
AUDCHF_k,lots,5,100000,Forex
NZDCHF_k,lots,5,100000,Forex
GBPCHF_k,lots,5,100000,Forex
USDILS_cl,lots,5,100000,Forex
USDKRW_cl,lots,5,100000,Forex
GBPTRY_cl,lots,5,100000,Forex
GBPDKK_cl,lots,5,100000,Forex
EURSGD_cl,lots,5,100000,Forex
GBPSEK_cl,lots,5,100000,Forex
USDCNH_cl,lots,5,100000,Forex
USDRUB_cl,lots,5,100000,Forex
USDCZK_cl,lots,5,100000,Forex
USDHUF_cl,lots,5,100000,Forex
NZDSGD_cl,lots,5,100000,Forex
GBPZAR_cl,lots,5,100000,Forex
EURPLN_cl,lots,5,100000,Forex
EURMXN_cl,lots,5,100000,Forex
USDZAR_cl,lots,5,100000,Forex
USDHKD_cl,lots,5,100000,Forex
EURZAR_cl,lots,5,100000,Forex
EURHKD_cl,lots,5,100000,Forex
EURTRY_cl,lots,5,100000,Forex
USDTRY_cl,lots,5,100000,Forex
GBPNOK_cl,lots,5,100000,Forex
USDDKK_cl,lots,5,100000,Forex
USDPLN_cl,lots,5,100000,Forex
GBPSGD_cl,lots,5,100000,Forex
USDSEK_cl,lots,5,100000,Forex
USDSGD_cl,lots,5,100000,Forex
USDMXN_cl,lots,5,100000,Forex
USDNOK_cl,lots,5,100000,Forex
FDAX_k,lots,5,1,Indices
FTSE_k,lots,5,1,Indices
CAC_k,lots,5,1,Indices
HK50_k,lots,5,1,Indices
NI225_k,lots,5,1,Indices
NQ_k,lots,5,1,Indices
SPX_k,lots,5,1,Indices
YM_k,lots,5,1,Indices
SX5E_k,lots,5,1,Indices
ASX200_k,lots,5,1,Indices
IBEX35_k,lots,5,1,Indices
XAUUSD_k,lots,3,100,Metals
XNGUSD_k,lots,1,10000,Energy
UKBRENT_cl,lots,10,10,Energy
USCRUDE_cl,lots,10,10,Energy
XAGUSD_cl,lots,3,5000,Metals
XAUEUR_cl,lots,3,100,Metals
XAUUSD_cl,lots,3,100,Metals
XPDUSD_cl,lots,3,100,Metals
XPTUSD_cl,lots,3,50,Metals
XNGUSD_cl,lots,1,10000,Energy
FDAX_cl,lots,5,1,Indices
FTSE_cl,lots,5,1,Indices
CAC_cl,lots,5,1,Indices
HK50_cl,lots,5,1,Indices
NI225_cl,lots,5,1,Indices
NQ_cl,lots,5,1,Indices
SPX_cl,lots,5,1,Indices
YM_cl,lots,5,1,Indices
SX5E_cl,lots,5,1,Indices
ASX200_cl,lots,5,1,Indices
IBEX35_cl,lots,5,1,Indices
EURUSD_cl,lots,5,100000,Forex
GBPUSD_cl,lots,5,100000,Forex
EURJPY_cl,lots,5,100000,Forex
USDJPY_cl,lots,5,100000,Forex
AUDUSD_cl,lots,5,100000,Forex
USDCHF_cl,lots,5,100000,Forex
GBPJPY_cl,lots,5,100000,Forex
USDCAD_cl,lots,5,100000,Forex
EURGBP_cl,lots,5,100000,Forex
EURCHF_cl,lots,5,100000,Forex
AUDJPY_cl,lots,5,100000,Forex
NZDUSD_cl,lots,5,100000,Forex
CHFJPY_cl,lots,5,100000,Forex
EURAUD_cl,lots,5,100000,Forex
CADJPY_cl,lots,5,100000,Forex
GBPAUD_cl,lots,5,100000,Forex
EURCAD_cl,lots,5,100000,Forex
AUDCAD_cl,lots,5,100000,Forex
GBPCAD_cl,lots,5,100000,Forex
AUDNZD_cl,lots,5,100000,Forex
NZDJPY_cl,lots,5,100000,Forex
AUDCHF_cl,lots,5,100000,Forex
GBPNZD_cl,lots,5,100000,Forex
EURNZD_cl,lots,5,100000,Forex
CADCHF_cl,lots,5,100000,Forex
NZDCAD_cl,lots,5,100000,Forex
NZDCHF_cl,lots,5,100000,Forex
GBPCHF_cl,lots,5,100000,Forex
#AHT_cl,lots,5,1,CFD_EU
#AIR_cl,lots,5,1,CFD_EU
#ALV_cl,lots,5,1,CFD_EU
#ASML_cl,lots,5,1,CFD_EU
#ADS_cl,lots,5,1,CFD_EU
#BAES_cl,lots,5,1,CFD_EU
#BARC_cl,lots,5,1,CFD_EU
#BATS_cl,lots,5,1,CFD_EU
#BAYN_cl,lots,5,1,CFD_EU
#BLND_cl,lots,5,1,CFD_EU
#BRBY_cl,lots,5,1,CFD_EU
#BMW_cl,lots,5,1,CFD_EU
#BT_cl,lots,5,1,CFD_EU
#CON_cl,lots,5,1,CFD_EU
#HIK_cl,lots,5,1,CFD_EU
#HSBA_cl,lots,5,1,CFD_EU
#III_cl,lots,5,1,CFD_EU
#IMB_cl,lots,5,1,CFD_EU
#ITRK_cl,lots,5,1,CFD_EU
#LRLCY_cl,lots,5,1,CFD_EU
#MC_cl,lots,5,1,CFD_EU
#NWG_cl,lots,5,1,CFD_EU
#PSON_cl,lots,5,1,CFD_EU
#RNO_cl,lots,5,1,CFD_EU
#SIE_cl,lots,5,1,CFD_EU
#UNA_cl,lots,5,1,CFD_EU
#MBG_cl,lots,5,1,CFD_EU
#TTE_cl,lots,5,1,CFD_EU
#BNP_cl,lots,5,1,CFD_EU
#PAH3_cl,lots,5,1,CFD_EU
#VOD_cl,lots,5,1,CFD_EU
#VOW_cl,lots,5,1,CFD_EU
#KER_cl,lots,5,1,CFD_EU
#UU_cl,lots,5,1,CFD_EU
#TSCO_cl,lots,5,1,CFD_EU
#AAPL_cl,lots,5,1,CFD_US
#AGNC_cl,lots,5,1,CFD_US
#TRIP_cl,lots,5,1,CFD_US
#BKNG_cl,lots,5,1,CFD_US
#EXPE_cl,lots,5,1,CFD_US
#LCID_cl,lots,5,1,CFD_US
#POOL_cl,lots,5,1,CFD_US
#AMGN_cl,lots,5,1,CFD_US
#AMZN_cl,lots,5,1,CFD_US
#CSCO_cl,lots,5,1,CFD_US
#DBX_cl,lots,5,1,CFD_US
#DOCU_cl,lots,5,1,CFD_US
#EBAY_cl,lots,5,1,CFD_US
#GILD_cl,lots,5,1,CFD_US
#GOOG_cl,lots,5,1,CFD_US
#INO_cl,lots,5,1,CFD_US
#INTC_cl,lots,5,1,CFD_US
#LRCX_cl,lots,5,1,CFD_US
#MRNA_cl,lots,5,1,CFD_US
#MSFT_cl,lots,5,1,CFD_US
#NFLX_cl,lots,5,1,CFD_US
#NVDA_cl,lots,5,1,CFD_US
#OKTA_cl,lots,5,1,CFD_US
#PEP_cl,lots,5,1,CFD_US
#PYPL_cl,lots,5,1,CFD_US
#SBUX_cl,lots,5,1,CFD_US
#TSLA_cl,lots,5,1,CFD_US
#ZM_cl,lots,5,1,CFD_US
#META_cl,lots,5,1,CFD_US
#PDD_cl,lots,5,1,CFD_US
#ADP_cl,lots,5,1,CFD_US
#AVGO_cl,lots,5,1,CFD_US
#MDLZ_cl,lots,5,1,CFD_US
#QCOM_cl,lots,5,1,CFD_US
#COIN_cl,lots,5,1,CFD_US
#AMD_cl,lots,5,1,CFD_US
#MLM_cl,lots,5,1,CFD_US
#AA_cl,lots,5,1,CFD_US
#CVX_cl,lots,5,1,CFD_US
#VMC_cl,lots,5,1,CFD_US
#NSC_cl,lots,5,1,CFD_US
#ADM_cl,lots,5,1,CFD_US
