symbol,formula,volume_limit,contract_size,type
#OIS,lots,5,1,TMP
#LAC,lots,5,1,CFD_US
#CRM,lots,5,1,CFD_US
#VFC,lots,5,1,CFD_US
#CMA,lots,5,1,CFD_US
#TSM,lots,5,1,CFD_US
#GS,lots,5,1,CFD_US
#GFI,lots,5,1,CFD_US
#WBA,lots,5,1,TMP
#ZTO,lots,5,1,CFD_US
#TGT,lots,5,1,CFD_US
#LUMN,lots,5,1,CFD_US
#DELL,lots,5,1,CFD_US
#BLK,lots,5,1,CFD_US
#CNC,lots,5,1,CFD_US
#WM,lots,5,1,CFD_US
#NVAX,lots,5,1,CFD_US
#JD,lots,5,1,CFD_US
#BYND,lots,5,1,CFD_US
#RIOT,lots,5,1,CFD_US
#IQ,lots,5,1,CFD_US
#AAL,lots,5,1,CFD_US
#LI,lots,5,1,CFD_US
#CME,lots,5,1,CFD_US
#EA,lots,5,1,CFD_US
#INTU,lots,5,1,CFD_US
#ADBE,lots,5,1,CFD_US
#WB,lots,5,1,CFD_US
#BIDU,lots,5,1,CFD_US
#CVAC,lots,5,1,CFD_US
#ROST,lots,5,1,CFD_US
#AMAT,lots,5,1,CFD_US
POLUSD,lots,5,1000,Cryptocurrencies
RENDERUSD,lots,5,100,Cryptocurrencies
TONUSD,lots,5,1000,Cryptocurrencies
POLUSD_cl,lots,5,1000,TMP
AUDCAD_q,lots,5,100000,Forex
AUDCHF_q,lots,5,100000,Forex
AUDJPY_q,lots,5,100000,Forex
AUDNZD_q,lots,5,100000,Forex
AUDUSD_q,lots,5,100000,Forex
CADCHF_q,lots,5,100000,Forex
CADJPY_q,lots,5,100000,Forex
CHFJPY_q,lots,5,100000,Forex
EURAUD_q,lots,5,100000,Forex
EURCAD_q,lots,5,100000,Forex
EURCHF_q,lots,5,100000,Forex
EURGBP_q,lots,5,100000,Forex
EURJPY_q,lots,5,100000,Forex
EURNZD_q,lots,5,100000,Forex
EURUSD_q,lots,5,100000,Forex
GBPAUD_q,lots,5,100000,Forex
GBPCAD_q,lots,5,100000,Forex
GBPCHF_q,lots,5,100000,Forex
GBPJPY_q,lots,5,100000,Forex
GBPNZD_q,lots,5,100000,Forex
GBPUSD_q,lots,5,100000,Forex
NZDCAD_q,lots,5,100000,Forex
NZDCHF_q,lots,5,100000,Forex
NZDJPY_q,lots,5,100000,Forex
NZDUSD_q,lots,5,100000,Forex
USDCAD_q,lots,5,100000,Forex
USDCHF_q,lots,5,100000,Forex
USDJPY_q,lots,5,100000,Forex
XAGUSD_qa,lots,3,5000,Metals
XAUUSD_qa,lots,3,100,Metals
USDHKD_k,lots,5,100000,Forex
#175,lots,5,10,CFD_HK
#1211,lots,5,10,CFD_HK
#1810,lots,5,10,CFD_HK
#992,lots,5,10,CFD_HK
#1211_cl,lots,5,10,CFD_HK
#175_cl,lots,5,10,CFD_HK
#1810_cl,lots,5,10,CFD_HK
#992_cl,lots,5,10,CFD_HK
OJ,lots,5,4,Agriculture
OJ_cl,lots,5,4,Agriculture
XNIUSD,lots,3,10,Metals
XNIUSD_cl,lots,3,10,Metals
XCUUSD,lots,3,10,Metals
XCUUSD_cl,lots,3,10,Metals
RUT,lots,5,10,Indices
RUT_cl,lots,5,10,Indices
SUSD,lots,5,100,Cryptocurrencies
SUSD_cl,lots,5,100,Cryptocurrencies
TRUMPUSD,lots,5,100,TMP
TRUMPUSD_cl,lots,5,100,TMP
XAUEUR_qa,lots,3,100,Metals
APTUSD_cl,lots,5,100,Cryptocurrencies
HBARUSD_cl,lots,5,100,Cryptocurrencies
ARBUSD_cl,lots,5,100,Cryptocurrencies
INJUSD_cl,lots,5,100,Cryptocurrencies
IMXUSD_cl,lots,5,100,Cryptocurrencies
WIFUSD_cl,lots,5,100,Cryptocurrencies
SUIUSD_cl,lots,5,100,Cryptocurrencies
GRTUSD_cl,lots,5,100,Cryptocurrencies
TAOUSD_cl,lots,5,100,Cryptocurrencies
OPUSD_cl,lots,5,100,Cryptocurrencies
#OIS_cl,lots,5,1,TMP
#LAC_cl,lots,5,1,CFD_US
#CRM_cl,lots,5,1,CFD_US
#VFC_cl,lots,5,1,CFD_US
#CMA_cl,lots,5,1,CFD_US
#TSM_cl,lots,5,1,CFD_US
#GS_cl,lots,5,1,CFD_US
#GFI_cl,lots,5,1,CFD_US
#WBA_cl,lots,5,1,TMP
ARUSD_cl,lots,5,100,Cryptocurrencies
#ZTO_cl,lots,5,1,CFD_US
#TGT_cl,lots,5,1,CFD_US
#LUMN_cl,lots,5,1,CFD_US
#DELL_cl,lots,5,1,CFD_US
#BLK_cl,lots,5,1,CFD_US
#CNC_cl,lots,5,1,CFD_US
#WM_cl,lots,5,1,CFD_US
NOTUSD_cl,lots,5,100,Cryptocurrencies
#NVAX_cl,lots,5,1,CFD_US
#JD_cl,lots,5,1,CFD_US
JASMYUSD_cl,lots,5,100,Cryptocurrencies
#BYND_cl,lots,5,1,CFD_US
#RIOT_cl,lots,5,1,CFD_US
#IQ_cl,lots,5,1,CFD_US
#AAL_cl,lots,5,1,CFD_US
RENDERUSD_cl,lots,5,100,Cryptocurrencies
#LI_cl,lots,5,1,CFD_US
#CME_cl,lots,5,1,CFD_US
#EA_cl,lots,5,1,CFD_US
TONUSD_cl,lots,5,1000,Cryptocurrencies
#INTU_cl,lots,5,1,CFD_US
#ADBE_cl,lots,5,1,CFD_US
#WB_cl,lots,5,1,CFD_US
#BIDU_cl,lots,5,1,CFD_US
#CVAC_cl,lots,5,1,CFD_US
#ROST_cl,lots,5,1,CFD_US
#AMAT_cl,lots,5,1,CFD_US
#XYZ,lots,5,1,CFD_US
#XYZ_cl,lots,5,1,CFD_US
#DKNG,lots,5,1,CFD_US
#DKNG_cl,lots,5,1,CFD_US
#PLUG,lots,5,1,CFD_US
#PLUG_cl,lots,5,1,CFD_US
AUSD,lots,5,1000,Cryptocurrencies
AUSD_cl,lots,5,1000,Cryptocurrencies
DSHUSD_cll,lots,5,10,TMP
#LLY,lots,5,1,CFD_US
#LLY_cl,lots,5,1,CFD_US
#COST,lots,5,1,CFD_US
#COST_cl,lots,5,1,CFD_US
#RIVN,lots,5,1,CFD_US
#RIVN_cl,lots,5,1,CFD_US
SKYUSD,lots,5,10000,Cryptocurrencies
SKYUSD_cl,lots,5,10000,Cryptocurrencies
